,time,survival_unbiased,survival_biased,survival_fitted
4300,0.8351839245,,-0.00023872931795976184,-0.00046476845959645053
2952,0.8363909273359998,,-0.00023934786171605826,-0.0004649130235516736
2657,0.8463256323839999,,-0.00023996640585484025,-0.0004661029132626814
901,0.8473163124740001,,-0.00024058495037633038,-0.0004662215680229683
5125,0.84891914432,,-0.00024120349528030703,-0.00046641354082063225
1042,0.8525007872920001,,-0.00024182204056699276,-0.00046684251783608415
6272,0.857561527704,,-0.00024244058623616594,-0.00046744864785375716
540,0.861052786394,,-0.00024305913228804915,-0.00046786679945198036
2118,0.862766333226,,-0.00024367767872253182,-0.0004680720326959343
147,0.868688039916,,-0.0002442962255395034,-0.00046878128151892334
3878,0.8718647508840001,,-0.0002449147727391864,-0.00046916175941710006
3578,0.873879648406,,-0.0002455333203213592,-0.000469403085739178
1358,0.8748971844479999,,-0.0002461518682862444,-0.00046952495706410464
431,0.8751943263759999,,-0.0002467704166336204,-0.0004695605460545304
24,0.8865940000000001,-0.0002000200026670447,,
1092,0.8891829389699999,,-0.00024738896536370973,-0.0004712359763885417
3196,0.8906286847879998,,-0.00024800751447640187,-0.00047140913483313153
3704,0.8910177655679999,,-0.00024862606397158617,-0.0004714557354332134
2725,0.89218314416,,-0.0002492446138494852,-0.00047159531401046856
