,time,survival_unbiased,survival_biased
488,279.77675400000004,-0.05013606949379729,
489,280.036752,-0.05024121643674679,
490,280.083894,-0.05034637443673853,
491,280.813674,-0.05045154349609822,
8447,281.02821048,,-0.020585830637718048
492,281.543136,-0.05055672361715231,
493,281.69075799999996,-0.050661914802227995,
494,281.78293199999996,-0.05076711705365319,
8448,281.871669996,,-0.0206882949033951
8449,282.058119046,,-0.02079076966907378
495,282.20060600000005,-0.05087233037375655,
496,282.859408,-0.05097755476486746,
497,283.20021399999996,-0.051082790229316055,
8450,283.671954462,,-0.020893254936906275
498,283.895154,-0.05118803676943331,
499,284.53982,-0.05129329438755058,
500,284.688504,-0.051398563086000326,
501,284.70919799999996,-0.05150384286711561,
502,284.72330800000003,-0.05160913373323024,
503,284.79801000000003,-0.05171443568667877,
504,285.21364,-0.05181974872979647,
505,285.35495000000003,-0.05192507286491937,
506,285.59986599999996,-0.05203040809438421,
507,285.649698,-0.05213575442052851,
508,286.132138,-0.05224111184569048,
509,286.326006,-0.052346480372209236,
510,287.96627,-0.05245186000242424,
